timestamp,score
60:00,30:30
59:59,29:30
59:44,29:30
59:37,29:30
59:17,29:29
59:01,29:29
58:10,29:29
57:49,29:28
56:56,29:28
56:53,29:27
56:39,29:27
56:00,28:27
55:48,28:27
55:12,27:27
54:26,27:27
54:02,26:27
53:56,26:27
53:29,26:27
53:27,25:27
52:40,25:27
52:36,25:26
52:00,25:26
51:02,25:26
50:53,25:26
50:07,25:26
49:58,25:25
49:15,24:25
48:38,24:25
48:28,23:25
48:22,23:25
47:19,23:25
46:25,23:24
45:18,22:24
45:13,22:24
44:13,22:24
44:05,22:24
43:29,22:24
43:16,22:23
42:39,22:23
42:27,22:22
41:35,22:22
41:06,22:21
41:03,22:21
40:57,21:21
40:06,21:21
39:26,20:21
38:54,20:21
38:34,20:21
38:28,19:21
38:04,19:21
37:03,18:21
35:49,18:20
34:33,17:20
34:19,17:19
34:08,16:19
33:40,16:19
33:15,16:19
32:06,16:18
31:48,15:18
31:02,15:18
30:51,15:18
29:58,15:18
29:46,14:18
29:37,14:18
28:54,14:18
28:09,13:18
28:04,13:17
27:30,13:17
27:08,13:17
26:18,13:17
26:18,13:17
26:08,13:16
25:50,12:16
25:41,12:15
25:31,12:15
24:57,12:15
24:55,11:15
24:29,11:15
24:26,11:15
24:21,11:14
24:12,11:14
23:21,11:14
22:46,11:14
22:39,11:13
22:12,11:13
21:45,11:12
21:34,11:12
21:18,10:12
21:13,10:11
20:38,10:11
20:02,10:11
19:49,10:11
19:36,9:11
18:45,9:10
18:05,9:10
18:02,9:9
17:09,9:9
16:57,9:9
16:09,9:9
16:04,9:8
16:04,9:8
15:28,9:8
14:45,9:8
14:04,8:8
13:31,8:8
13:26,7:8
12:42,7:8
12:08,6:8
12:04,6:7
11:18,6:7
11:08,6:6
11:06,5:6
10:47,5:6
10:03,5:6
09:53,5:5
08:34,4:5
08:24,4:5
08:02,4:5
07:17,4:5
07:12,4:5
06:59,4:4
06:22,3:4
06:12,3:3
05:26,3:3
05:13,2:3
04:32,2:2
04:16,1:2
03:31,1:2
02:33,1:1
02:28,1:1
02:17,1:1
01:35,1:1
00:40,1:0
