timestamp,score
60:00,25:26
59:48,25:26
59:26,25:26
58:57,25:26
58:38,25:25
58:19,25:25
58:08,24:25
56:45,24:25
55:58,23:25
55:18,23:24
55:02,23:24
53:55,23:24
53:38,22:24
52:32,22:24
51:11,22:24
51:06,21:24
50:25,21:24
49:47,20:24
48:30,20:24
47:54,19:24
47:50,19:23
47:10,19:23
46:50,19:22
46:48,19:22
45:47,19:22
45:35,19:22
44:55,19:21
44:43,18:21
43:59,18:21
43:36,17:21
43:27,17:21
42:58,17:20
42:47,17:20
42:09,17:19
41:48,17:19
41:11,17:18
41:01,17:18
40:09,17:18
39:34,17:18
38:53,17:17
38:20,17:17
37:14,17:17
36:42,17:17
36:02,17:17
35:55,16:17
35:39,16:17
35:06,15:17
35:03,15:16
34:35,15:16
34:23,15:15
33:48,15:15
33:09,15:15
33:05,14:15
32:20,14:15
32:14,14:15
31:36,13:15
31:00,13:15
30:50,12:15
29:58,12:15
29:08,12:15
29:00,12:15
27:58,12:15
27:55,11:15
27:27,11:15
27:21,11:15
27:17,10:15
26:21,10:15
26:10,9:15
25:11,9:15
25:11,9:15
24:59,8:15
24:49,8:14
24:07,8:14
23:01,8:13
22:20,7:13
22:15,7:13
21:07,7:12
20:41,7:12
19:45,7:11
19:12,6:11
18:34,6:11
18:27,6:11
17:16,6:10
17:12,6:10
16:33,6:10
16:22,6:10
15:07,6:9
14:37,5:9
14:21,5:8
13:49,5:8
13:43,5:8
13:32,5:7
12:57,5:7
12:10,5:6
11:38,5:6
11:33,5:6
11:10,5:5
10:53,5:5
10:46,4:5
10:37,4:5
10:00,4:5
09:17,4:4
09:05,3:4
08:09,3:4
08:03,3:4
07:10,3:4
06:03,3:4
05:58,3:3
05:48,3:3
05:10,3:2
04:59,3:2
04:45,3:1
04:07,3:1
03:56,2:1
03:47,2:1
03:37,2:1
03:04,2:1
02:46,1:1
02:22,1:1
01:42,1:0
01:33,0:0
00:52,0:0
00:43,0:0
00:35,0:0
